national_tmed,national_tmin,national_tmax
26.95944761,19.48371936,34.43618834
27.69755894,20.48283265,34.90926193
25.85909408,19.57921167,32.16099123
23.36236626,17.50887125,29.23238257
20.96370259,15.11209196,26.81859615
19.72877101,13.19822765,26.27618817
20.9813344,13.81915325,28.12470881
24.777599,17.8511525,31.68270511
24.67759745,18.47926311,30.85967582
25.08165567,18.31388864,31.8640447
26.15481241,19.07916423,33.23924966
26.22671975,19.83832958,32.61942095
25.77738771,18.54018753,32.9761078
26.21211948,19.33252618,33.04668271
25.80744038,19.11354793,32.49846407
25.41962926,18.91472929,31.94960817
25.18215067,18.62267671,31.74109447
22.34373618,17.49983168,27.19251643
21.66095292,16.78763228,26.53090141
21.28454363,16.25864132,26.32409192
21.0818603,16.06586125,26.10439321
21.15884274,15.82209654,26.4856339
22.70271174,16.95324857,28.44721262
23.64660847,17.27503666,30.02380628
23.18493052,17.33000648,29.05540399
21.81455806,15.87233267,27.73621442
21.90796693,15.01336842,28.78601468
21.49078643,14.73018572,28.25138679
21.09259142,15.33920621,26.8523594
22.00007235,15.01756147,28.97912364
21.14209195,14.48208628,27.78479891
16.90372548,12.32217473,21.47697736
18.01985912,12.31114764,23.72128688
18.65834155,12.06515373,25.25707359
19.08640383,11.69047907,26.48604329
19.92805881,13.52822487,26.31612983
19.77708121,14.65037981,24.93544544
20.79618919,14.63130443,26.94055238
